tau_shelf,buffer_mult,category,seed,duration_hr,severity,R_buffer,R_reconfig,R_null,data_class
336.0,4.0,D1,3141500017,315.6076314052882,0.4478080178139334,0.7756295957215285,0.8909903258674033,0.7768827762856984,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500018,758.6987008496483,0.6710840720466635,0.5255147422380779,0.7920796157288879,0.5567141889662718,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500019,862.6015218073472,0.49604938916829333,0.5983658563615784,0.824244543280527,0.6082114863988545,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500020,551.6049701463794,0.865653943618379,0.4177026992324527,0.7343109580035624,0.417710766588642,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500021,1380.4187543602452,0.8037037789843835,0.5373081061357996,0.7815484097334379,0.5374664150205499,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500022,498.80435951369657,0.34709055275758693,0.820609034659759,0.9132820371249731,0.8206739850314667,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500023,940.6790672916757,0.9092700535100975,0.33021673883569863,0.7004056546985473,0.33026146424943326,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500024,184.23146437111683,0.3028555430029599,0.8196487615226246,0.9156078997358615,0.8205055444412737,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500025,1160.0073824046303,0.37674747701389055,0.764429138816316,0.8962025112312557,0.7873556467404893,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500026,226.60667335916594,0.7647060041847665,0.4215825830630943,0.7413738301309523,0.42307809903823007,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500027,1053.7785411181785,0.5838314355878191,0.5849455154647525,0.8122642404582232,0.5850498686156715,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500028,1257.7099875885342,0.6620859031015945,0.48683340184200957,0.7715177973962705,0.4868548990120492,SYNTHETIC/physics-forward-model
336.0,4.0,D1,3141500029,89.05275907456787,0.5629822888724128,0.5967752937138672,0.8291013245016922,0.6414036883834591,SYNTHETIC/physics-forward-model
